tree_id,split,B1_gt,B2_gt,B3_gt,B4_gt,B1_pred,B2_pred,B3_pred,B4_pred,MAE,total_gt,total_pred,within_1,error_sum,err_B1,err_B2,err_B3,err_B4,selected_method,unstable_gate,B1_ratio,B2_ratio,B3_ratio,B4_ratio
DAMIMAS_A21B_0001,train,1,2,5,0,1,3,5,0,0.25,8,9,True,1,0,1,0,0,best_visibility_grid,True,2.0,2.5,3.3333,0.0
DAMIMAS_A21B_0244,train,0,0,0,7,0,0,0,9,0.5,7,9,False,2,0,0,0,2,adaptive_corrected,True,0.0,0.0,0.0,3.75
DAMIMAS_A21B_0577,train,3,0,4,2,3,0,3,2,0.25,9,8,True,1,0,0,1,0,adaptive_corrected,False,3.0,0.0,3.0,3.0
DAMIMAS_A21B_0002,train,1,0,7,4,2,0,7,5,0.5,12,14,True,2,1,0,0,1,class_aware_vis,True,4.0,0.0,2.75,2.5
DAMIMAS_A21B_0245,train,0,0,3,2,0,0,2,3,0.5,5,5,True,2,0,0,1,1,adaptive_corrected,False,0.0,0.0,2.0,3.0
DAMIMAS_A21B_0578,train,1,5,1,0,1,4,1,0,0.25,7,6,True,1,0,1,0,0,adaptive_corrected,False,2.0,2.6667,2.0,0.0
DAMIMAS_A21B_0003,train,1,2,5,1,1,3,6,1,0.5,9,11,True,2,0,1,1,0,adaptive_corrected,False,2.0,2.5,3.6667,2.0
DAMIMAS_A21B_0246,train,0,6,6,4,0,5,5,4,0.5,16,14,True,2,0,1,1,0,adaptive_corrected,False,0.0,2.0,2.6667,2.0
DAMIMAS_A21B_0579,train,5,3,6,1,5,4,6,1,0.25,15,16,True,1,0,1,0,0,adaptive_corrected,False,2.5,3.0,3.3333,2.0
DAMIMAS_A21B_0004,train,0,0,8,0,0,0,8,0,0.0,8,8,True,0,0,0,0,0,adaptive_corrected,False,0.0,0.0,3.75,0.0
DAMIMAS_A21B_0247,train,2,3,5,0,2,3,6,0,0.25,10,11,True,1,0,0,1,0,adaptive_corrected,False,2.0,3.0,3.3333,0.0
DAMIMAS_A21B_0580,train,2,4,6,1,2,5,7,1,0.5,13,15,True,2,0,1,1,0,adaptive_corrected,False,2.0,2.6667,4.0,1.0
DAMIMAS_A21B_0005,train,1,3,3,2,1,3,3,1,0.25,9,8,True,1,0,0,0,1,adaptive_corrected,False,2.0,3.0,3.0,2.0
DAMIMAS_A21B_0248,train,0,2,5,4,0,2,5,3,0.25,11,10,True,1,0,0,0,1,best_visibility_grid,True,0.0,1.5,3.3333,2.5
DAMIMAS_A21B_0581,train,1,3,5,2,1,3,5,2,0.0,11,11,True,0,0,0,0,0,adaptive_corrected,False,2.0,2.5,3.0,2.0
DAMIMAS_A21B_0006,train,1,0,5,3,1,0,4,4,0.5,9,9,True,2,0,0,1,1,adaptive_corrected,False,2.0,0.0,4.0,3.0
DAMIMAS_A21B_0249,train,0,1,9,0,0,1,9,0,0.0,10,10,True,0,0,0,0,0,adaptive_corrected,False,0.0,1.0,3.4,0.0
DAMIMAS_A21B_0582,train,2,6,5,2,2,6,5,2,0.0,15,15,True,0,0,0,0,0,adaptive_corrected,False,4.0,3.3333,3.0,1.5
DAMIMAS_A21B_0007,train,3,3,9,3,3,2,9,3,0.25,18,17,True,1,0,1,0,0,adaptive_corrected,False,3.0,2.0,3.0,2.5
DAMIMAS_A21B_0250,train,2,1,8,8,2,1,8,9,0.25,19,20,True,1,0,0,0,1,adaptive_corrected,False,3.0,1.0,2.6,2.1667
DAMIMAS_A21B_0583,train,1,2,0,0,1,2,0,0,0.0,3,3,True,0,0,0,0,0,adaptive_corrected,False,2.0,4.0,0.0,0.0
DAMIMAS_A21B_0008,train,2,3,4,0,2,3,4,0,0.0,9,9,True,0,0,0,0,0,adaptive_corrected,False,2.0,2.0,4.0,0.0
DAMIMAS_A21B_0251,train,1,4,6,2,1,3,6,2,0.25,13,12,True,1,0,1,0,0,adaptive_corrected,False,2.0,3.0,3.3333,2.0
DAMIMAS_A21B_0584,train,1,3,5,1,1,3,5,1,0.0,10,10,True,0,0,0,0,0,best_visibility_grid,True,2.0,3.0,3.3333,1.0
DAMIMAS_A21B_0009,train,0,0,3,3,0,0,3,2,0.25,6,5,True,1,0,0,0,1,adaptive_corrected,False,0.0,0.0,3.0,4.0
DAMIMAS_A21B_0252,train,0,2,6,2,0,1,6,1,0.5,10,8,True,2,0,1,0,1,adaptive_corrected,False,0.0,2.0,2.75,1.0
DAMIMAS_A21B_0585,train,2,2,4,3,2,2,4,4,0.25,11,12,True,1,0,0,0,1,adaptive_corrected,False,2.0,2.0,3.5,3.0
DAMIMAS_A21B_0010,train,0,2,6,3,0,3,6,4,0.5,11,13,True,2,0,1,0,1,adaptive_corrected,False,0.0,2.5,3.6667,3.0
DAMIMAS_A21B_0253,train,0,2,4,0,0,2,4,0,0.0,6,6,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.0,2.3333,0.0
DAMIMAS_A21B_0586,train,0,3,4,2,0,3,3,2,0.25,9,8,True,1,0,0,1,0,adaptive_corrected,False,0.0,3.0,2.5,2.0
DAMIMAS_A21B_0011,train,1,1,4,1,1,1,5,1,0.25,7,8,True,1,0,0,1,0,adaptive_corrected,False,2.0,1.0,2.5,1.0
DAMIMAS_A21B_0254,train,0,2,6,3,0,3,5,4,0.75,11,12,True,3,0,1,1,1,adaptive_corrected,False,0.0,2.5,3.0,2.0
DAMIMAS_A21B_0587,train,3,0,0,0,2,0,0,0,0.25,3,2,True,1,1,0,0,0,adaptive_corrected,False,2.5,0.0,0.0,0.0
DAMIMAS_A21B_0012,train,1,2,4,2,1,1,4,2,0.25,9,8,True,1,0,1,0,0,adaptive_corrected,False,3.0,2.0,3.5,2.0
DAMIMAS_A21B_0255,train,1,2,6,1,0,2,6,1,0.25,10,9,True,1,1,0,0,0,adaptive_corrected,False,1.0,3.0,3.6667,2.0
DAMIMAS_A21B_0588,train,4,3,3,2,3,3,3,2,0.25,12,11,True,1,1,0,0,0,adaptive_corrected,False,3.0,3.0,3.0,3.0
DAMIMAS_A21B_0013,train,0,1,4,4,0,1,4,4,0.0,9,9,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.0,2.6667,3.5
DAMIMAS_A21B_0256,train,0,0,2,0,0,0,1,0,0.25,2,1,True,1,0,0,1,0,adaptive_corrected,False,0.0,0.0,3.0,0.0
DAMIMAS_A21B_0589,train,1,2,10,1,1,2,9,1,0.25,14,13,True,1,0,0,1,0,best_visibility_grid,True,2.0,2.0,3.4,2.0
DAMIMAS_A21B_0014,train,1,1,4,3,1,1,4,4,0.25,9,10,True,1,0,0,0,1,adaptive_corrected,False,2.0,2.0,2.6667,2.0
DAMIMAS_A21B_0257,train,1,4,7,1,1,4,6,1,0.25,13,12,True,1,0,0,1,0,class_aware_vis,True,2.0,3.0,3.0,1.0
DAMIMAS_A21B_0590,train,4,2,4,4,4,2,3,3,0.5,14,12,True,2,0,0,1,1,adaptive_corrected,False,4.0,4.0,3.0,2.5
DAMIMAS_A21B_0015,train,1,1,7,4,2,1,8,4,0.5,13,15,True,2,1,0,1,0,adaptive_corrected,False,3.0,2.0,3.5,2.3333
DAMIMAS_A21B_0258,train,0,2,7,2,0,2,6,2,0.25,11,10,True,1,0,0,1,0,class_aware_vis,True,0.0,4.0,2.5,1.5
DAMIMAS_A21B_0591,train,2,5,5,1,2,5,5,1,0.0,13,13,True,0,0,0,0,0,adaptive_corrected,False,4.0,3.0,3.0,1.0
DAMIMAS_A21B_0016,train,1,0,4,0,0,0,4,0,0.25,5,4,True,1,1,0,0,0,adaptive_corrected,False,1.0,0.0,2.3333,0.0
DAMIMAS_A21B_0259,train,1,8,3,0,1,7,3,0,0.25,12,11,True,1,0,1,0,0,class_aware_vis,True,2.0,3.6667,2.5,0.0
DAMIMAS_A21B_0592,train,1,1,6,0,1,1,5,0,0.25,8,7,True,1,0,0,1,0,adaptive_corrected,False,2.0,2.0,3.3333,0.0
DAMIMAS_A21B_0017,train,0,1,3,4,0,1,3,5,0.25,8,9,True,1,0,0,0,1,adaptive_corrected,True,0.0,2.0,3.0,3.0
DAMIMAS_A21B_0260,train,1,5,3,2,1,6,3,1,0.5,11,11,True,2,0,1,0,1,adaptive_corrected,False,2.0,3.3333,3.0,2.0
DAMIMAS_A21B_0593,train,0,0,1,2,0,0,1,2,0.0,3,3,True,0,0,0,0,0,adaptive_corrected,False,0.0,0.0,2.0,1.5
DAMIMAS_A21B_0018,train,1,0,3,1,1,0,4,1,0.25,5,6,True,1,0,0,1,0,adaptive_corrected,False,2.0,0.0,3.5,2.0
DAMIMAS_A21B_0261,train,3,5,5,3,3,5,4,4,0.5,16,16,True,2,0,0,1,1,adaptive_corrected,False,2.0,2.6667,2.3333,3.0
DAMIMAS_A21B_0594,train,4,5,3,3,4,5,4,3,0.25,15,16,True,1,0,0,1,0,adaptive_corrected,False,3.5,4.0,3.0,2.0
DAMIMAS_A21B_0019,train,2,0,8,3,2,0,9,4,0.5,13,15,True,2,0,0,1,1,adaptive_corrected,False,2.0,0.0,3.75,3.0
DAMIMAS_A21B_0262,train,2,2,7,2,2,2,8,2,0.25,13,14,True,1,0,0,1,0,adaptive_corrected,False,2.0,3.0,3.5,1.5
DAMIMAS_A21B_0595,train,3,4,6,0,3,5,6,0,0.25,13,14,True,1,0,1,0,0,adaptive_corrected,False,2.5,4.0,3.6667,0.0
DAMIMAS_A21B_0020,train,1,1,4,3,1,1,4,3,0.0,9,9,True,0,0,0,0,0,adaptive_corrected,False,2.0,2.0,3.5,2.5
DAMIMAS_A21B_0263,train,0,7,3,1,0,9,3,1,0.5,11,13,False,2,0,2,0,0,class_aware_vis,True,0.0,3.5,2.5,2.0
DAMIMAS_A21B_0596,train,0,2,8,4,0,2,8,3,0.25,14,13,True,1,0,0,0,1,adaptive_corrected,False,0.0,4.0,3.5,2.5
DAMIMAS_A21B_0021,train,3,0,5,4,3,0,5,4,0.0,12,12,True,0,0,0,0,0,adaptive_corrected,False,3.0,0.0,3.0,3.0
DAMIMAS_A21B_0264,train,3,2,7,0,3,2,7,0,0.0,12,12,True,0,0,0,0,0,adaptive_corrected,False,3.0,3.0,3.25,0.0
DAMIMAS_A21B_0597,train,0,0,8,0,0,0,8,0,0.0,8,8,True,0,0,0,0,0,adaptive_corrected,False,0.0,0.0,3.75,0.0
DAMIMAS_A21B_0022,train,0,1,5,2,0,1,5,2,0.0,8,8,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.0,2.5,2.0
DAMIMAS_A21B_0265,train,1,2,8,1,1,2,9,1,0.25,12,13,True,1,0,0,1,0,class_aware_vis,True,2.0,1.5,3.0,2.0
DAMIMAS_A21B_0598,train,1,3,5,1,1,3,5,1,0.0,10,10,True,0,0,0,0,0,adaptive_corrected,False,2.0,3.0,3.0,2.0
DAMIMAS_A21B_0023,train,1,3,5,0,1,4,5,0,0.25,9,10,True,1,0,1,0,0,class_aware_vis,True,2.0,3.0,2.6667,0.0
DAMIMAS_A21B_0266,train,2,1,9,0,2,1,9,0,0.0,12,12,True,0,0,0,0,0,adaptive_corrected,False,2.0,2.0,3.0,0.0
DAMIMAS_A21B_0599,train,3,4,6,2,3,4,6,1,0.25,15,14,True,1,0,0,0,1,adaptive_corrected,False,3.0,3.0,2.5,2.0
DAMIMAS_A21B_0024,train,1,0,6,3,2,0,6,4,0.5,10,12,True,2,1,0,0,1,adaptive_corrected,False,3.0,0.0,2.75,3.0
DAMIMAS_A21B_0267,train,1,5,4,2,2,5,4,2,0.25,12,13,True,1,1,0,0,0,adaptive_corrected,False,3.0,2.6667,3.5,3.0
DAMIMAS_A21B_0600,train,3,2,7,4,3,2,7,5,0.25,16,17,True,1,0,0,0,1,adaptive_corrected,False,2.5,4.0,3.0,2.3333
DAMIMAS_A21B_0025,train,1,1,5,0,1,1,4,0,0.25,7,6,True,1,0,0,1,0,adaptive_corrected,False,3.0,2.0,3.5,0.0
DAMIMAS_A21B_0268,train,2,6,5,6,2,5,4,6,0.5,19,17,True,2,0,1,1,0,adaptive_corrected,False,2.0,4.0,3.5,2.25
DAMIMAS_A21B_0601,train,0,0,5,1,0,0,5,1,0.0,6,6,True,0,0,0,0,0,adaptive_corrected,False,0.0,0.0,3.3333,1.0
DAMIMAS_A21B_0026,train,0,1,4,2,0,1,4,2,0.0,7,7,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.0,2.6667,3.0
DAMIMAS_A21B_0269,train,0,0,5,0,0,0,6,0,0.25,5,6,True,1,0,0,1,0,adaptive_corrected,False,0.0,0.0,2.75,0.0
DAMIMAS_A21B_0602,train,4,4,5,3,4,4,5,3,0.0,16,16,True,0,0,0,0,0,adaptive_corrected,False,3.5,3.5,2.6667,4.0
DAMIMAS_A21B_0027,train,3,0,6,2,4,0,6,2,0.25,11,12,True,1,1,0,0,0,adaptive_corrected,False,3.5,0.0,3.6667,1.5
DAMIMAS_A21B_0270,train,1,2,7,0,1,2,6,0,0.25,10,9,True,1,0,0,1,0,adaptive_corrected,False,2.0,3.0,2.75,0.0
DAMIMAS_A21B_0603,train,2,4,3,1,2,4,3,1,0.0,10,10,True,0,0,0,0,0,adaptive_corrected,False,4.0,3.5,3.0,1.0
DAMIMAS_A21B_0028,train,0,1,5,6,0,1,6,6,0.25,12,13,True,1,0,0,1,0,adaptive_corrected,True,0.0,1.0,2.75,3.0
DAMIMAS_A21B_0271,train,0,6,6,3,0,5,6,2,0.5,15,13,True,2,0,1,0,1,adaptive_corrected,False,0.0,3.0,3.3333,3.0
DAMIMAS_A21B_0604,train,0,3,2,1,0,3,2,1,0.0,6,6,True,0,0,0,0,0,adaptive_corrected,False,0.0,3.0,2.0,2.0
DAMIMAS_A21B_0029,train,1,2,5,2,1,3,6,3,0.75,10,13,True,3,0,1,1,1,adaptive_corrected,False,2.0,3.0,3.3333,2.5
DAMIMAS_A21B_0272,train,1,1,5,2,1,2,5,2,0.25,9,10,True,1,0,1,0,0,adaptive_corrected,False,2.0,3.0,3.0,1.5
DAMIMAS_A21B_0605,train,2,2,6,3,2,2,6,2,0.25,13,12,True,1,0,0,0,1,adaptive_corrected,False,1.5,2.0,3.3333,2.0
DAMIMAS_A21B_0030,train,0,0,5,3,0,0,5,2,0.25,8,7,True,1,0,0,0,1,adaptive_corrected,False,0.0,0.0,3.0,2.0
DAMIMAS_A21B_0273,train,0,1,6,0,0,1,7,0,0.25,7,8,True,1,0,0,1,0,best_visibility_grid,True,0.0,2.0,3.5,0.0
DAMIMAS_A21B_0606,train,1,5,4,4,1,4,4,4,0.25,14,13,True,1,0,1,0,0,class_aware_vis,True,1.0,2.3333,2.3333,2.3333
DAMIMAS_A21B_0031,train,0,1,4,2,0,1,4,2,0.0,7,7,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.0,2.6667,1.5
DAMIMAS_A21B_0274,train,0,1,8,3,0,1,8,2,0.25,12,11,True,1,0,0,0,1,adaptive_corrected,False,0.0,1.0,3.75,2.0
DAMIMAS_A21B_0607,train,4,4,4,1,4,5,4,1,0.25,13,14,True,1,0,1,0,0,adaptive_corrected,False,2.6667,2.6667,3.5,2.0
DAMIMAS_A21B_0032,train,2,1,5,3,2,1,6,4,0.5,11,13,True,2,0,0,1,1,adaptive_corrected,False,4.0,2.0,3.3333,3.0
DAMIMAS_A21B_0275,train,3,4,8,2,3,4,8,1,0.25,17,16,True,1,0,0,0,1,adaptive_corrected,False,2.5,3.0,3.25,2.0
DAMIMAS_A21B_0608,train,0,2,8,3,0,2,8,3,0.0,13,13,True,0,0,0,0,0,adaptive_corrected,False,0.0,3.0,3.5,2.5
DAMIMAS_A21B_0033,train,0,0,8,2,0,0,9,1,0.5,10,10,True,2,0,0,1,1,adaptive_corrected,False,0.0,0.0,4.0,2.0
DAMIMAS_A21B_0276,train,1,1,3,0,1,1,3,0,0.0,5,5,True,0,0,0,0,0,adaptive_corrected,False,3.0,2.0,2.5,0.0
DAMIMAS_A21B_0609,train,1,2,5,3,1,2,4,3,0.25,11,10,True,1,0,0,1,0,adaptive_corrected,False,2.0,2.0,2.6667,2.5
DAMIMAS_A21B_0034,train,0,1,3,6,0,1,3,5,0.25,10,9,True,1,0,0,0,1,adaptive_corrected,False,0.0,2.0,3.0,2.6667
DAMIMAS_A21B_0277,train,1,3,5,0,1,3,4,0,0.25,9,8,True,1,0,0,1,0,adaptive_corrected,False,3.0,3.0,2.6667,0.0
DAMIMAS_A21B_0610,train,0,6,4,2,0,6,3,2,0.25,12,11,True,1,0,0,1,0,adaptive_corrected,False,0.0,2.75,3.0,3.0
DAMIMAS_A21B_0035,train,0,7,2,0,0,6,2,0,0.25,9,8,True,1,0,1,0,0,class_aware_vis,True,0.0,2.25,2.0,0.0
DAMIMAS_A21B_0278,train,2,4,6,0,3,4,5,0,0.5,12,12,True,2,1,0,1,0,adaptive_corrected,False,2.5,3.5,2.6667,0.0
DAMIMAS_A21B_0611,train,0,6,5,0,0,7,6,0,0.5,11,13,True,2,0,1,1,0,class_aware_vis,True,0.0,3.6667,3.0,0.0
DAMIMAS_A21B_0036,train,0,1,7,0,0,1,7,0,0.0,8,8,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.0,3.25,0.0
DAMIMAS_A21B_0279,train,0,5,9,1,0,5,9,1,0.0,15,15,True,0,0,0,0,0,adaptive_corrected,False,0.0,2.6667,3.0,2.0
DAMIMAS_A21B_0612,train,0,1,8,0,0,1,7,0,0.25,9,8,True,1,0,0,1,0,adaptive_corrected,False,0.0,1.0,3.25,0.0
DAMIMAS_A21B_0037,train,0,3,5,3,0,3,6,3,0.25,11,12,True,1,0,0,1,0,adaptive_corrected,False,0.0,2.5,3.6667,2.5
DAMIMAS_A21B_0280,train,2,3,4,4,2,2,3,4,0.5,13,11,True,2,0,1,1,0,adaptive_corrected,False,4.0,2.0,3.0,3.0
DAMIMAS_A21B_0613,train,0,1,4,1,0,1,3,1,0.25,6,5,True,1,0,0,1,0,adaptive_corrected,False,0.0,2.0,3.0,2.0
DAMIMAS_A21B_0038,train,2,0,5,5,2,0,5,5,0.0,12,12,True,0,0,0,0,0,adaptive_corrected,False,4.0,0.0,3.0,2.6667
DAMIMAS_A21B_0281,train,0,0,10,5,0,0,9,5,0.25,15,14,True,1,0,0,1,0,adaptive_corrected,True,0.0,0.0,3.0,2.6667
