tree_id,split,ok,MAE,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4
DAMIMAS_A21B_0001,train,True,0.5,1,2,5,0,1,3,6,0,0,1,1,0
DAMIMAS_A21B_0244,train,False,0.5,0,0,0,7,0,0,0,9,0,0,0,2
DAMIMAS_A21B_0577,train,True,0.25,3,0,4,2,3,0,3,2,0,0,1,0
DAMIMAS_A21B_0002,train,False,1.0,1,0,7,4,2,0,6,6,1,0,1,2
DAMIMAS_A21B_0245,train,False,0.75,0,0,3,2,0,0,2,4,0,0,1,2
DAMIMAS_A21B_0578,train,True,0.25,1,5,1,0,1,4,1,0,0,1,0,0
DAMIMAS_A21B_0003,train,True,0.5,1,2,5,1,1,3,6,1,0,1,1,0
DAMIMAS_A21B_0246,train,False,0.75,0,6,6,4,0,4,5,4,0,2,1,0
DAMIMAS_A21B_0579,train,True,0.0,5,3,6,1,5,3,6,1,0,0,0,0
DAMIMAS_A21B_0004,train,True,0.25,0,0,8,0,0,0,9,0,0,0,1,0
DAMIMAS_A21B_0247,train,True,0.25,2,3,5,0,2,3,6,0,0,0,1,0
DAMIMAS_A21B_0580,train,True,0.25,2,4,6,1,2,4,7,1,0,0,1,0
DAMIMAS_A21B_0005,train,True,0.25,1,3,3,2,1,3,3,1,0,0,0,1
DAMIMAS_A21B_0248,train,True,0.5,0,2,5,4,0,2,6,3,0,0,1,1
DAMIMAS_A21B_0581,train,True,0.0,1,3,5,2,1,3,5,2,0,0,0,0
DAMIMAS_A21B_0006,train,True,0.25,1,0,5,3,1,0,5,4,0,0,0,1
DAMIMAS_A21B_0249,train,True,0.25,0,1,9,0,0,1,10,0,0,0,1,0
DAMIMAS_A21B_0582,train,True,0.25,2,6,5,2,2,5,5,2,0,1,0,0
DAMIMAS_A21B_0007,train,True,0.25,3,3,9,3,3,2,9,3,0,1,0,0
DAMIMAS_A21B_0250,train,True,0.0,2,1,8,8,2,1,8,8,0,0,0,0
DAMIMAS_A21B_0583,train,True,0.0,1,2,0,0,1,2,0,0,0,0,0,0
DAMIMAS_A21B_0008,train,True,0.25,2,3,4,0,2,3,5,0,0,0,1,0
DAMIMAS_A21B_0251,train,True,0.5,1,4,6,2,1,3,6,3,0,1,0,1
DAMIMAS_A21B_0584,train,True,0.25,1,3,5,1,1,3,6,1,0,0,1,0
DAMIMAS_A21B_0009,train,True,0.25,0,0,3,3,0,0,3,2,0,0,0,1
DAMIMAS_A21B_0252,train,True,0.5,0,2,6,2,0,1,6,1,0,1,0,1
DAMIMAS_A21B_0585,train,True,0.25,2,2,4,3,2,2,4,4,0,0,0,1
DAMIMAS_A21B_0010,train,True,0.5,0,2,6,3,0,3,6,4,0,1,0,1
DAMIMAS_A21B_0253,train,True,0.0,0,2,4,0,0,2,4,0,0,0,0,0
DAMIMAS_A21B_0586,train,True,0.25,0,3,4,2,0,3,3,2,0,0,1,0
DAMIMAS_A21B_0011,train,False,0.5,1,1,4,1,1,1,6,1,0,0,2,0
DAMIMAS_A21B_0254,train,True,0.75,0,2,6,3,0,3,5,4,0,1,1,1
DAMIMAS_A21B_0587,train,True,0.25,3,0,0,0,2,0,0,0,1,0,0,0
DAMIMAS_A21B_0012,train,True,0.5,1,2,4,2,2,1,4,2,1,1,0,0
DAMIMAS_A21B_0255,train,True,0.0,1,2,6,1,1,2,6,1,0,0,0,0
DAMIMAS_A21B_0588,train,True,0.25,4,3,3,2,3,3,3,2,1,0,0,0
DAMIMAS_A21B_0013,train,True,0.25,0,1,4,4,0,1,5,4,0,0,1,0
DAMIMAS_A21B_0256,train,True,0.0,0,0,2,0,0,0,2,0,0,0,0,0
DAMIMAS_A21B_0589,train,True,0.0,1,2,10,1,1,2,10,1,0,0,0,0
DAMIMAS_A21B_0014,train,True,0.5,1,1,4,3,1,1,5,4,0,0,1,1
DAMIMAS_A21B_0257,train,False,0.75,1,4,7,1,1,3,5,1,0,1,2,0
DAMIMAS_A21B_0590,train,True,0.5,4,2,4,4,4,2,3,3,0,0,1,1
DAMIMAS_A21B_0015,train,True,0.5,1,1,7,4,2,1,8,4,1,0,1,0
DAMIMAS_A21B_0258,train,True,0.25,0,2,7,2,0,2,6,2,0,0,1,0
DAMIMAS_A21B_0591,train,True,0.0,2,5,5,1,2,5,5,1,0,0,0,0
DAMIMAS_A21B_0016,train,True,0.25,1,0,4,0,0,0,4,0,1,0,0,0
DAMIMAS_A21B_0259,train,False,0.5,1,8,3,0,1,6,3,0,0,2,0,0
DAMIMAS_A21B_0592,train,True,0.0,1,1,6,0,1,1,6,0,0,0,0,0
DAMIMAS_A21B_0017,train,False,0.5,0,1,3,4,0,1,3,6,0,0,0,2
DAMIMAS_A21B_0260,train,True,0.25,1,5,3,2,1,5,3,1,0,0,0,1
DAMIMAS_A21B_0593,train,True,0.0,0,0,1,2,0,0,1,2,0,0,0,0
DAMIMAS_A21B_0018,train,True,0.25,1,0,3,1,1,0,4,1,0,0,1,0
DAMIMAS_A21B_0261,train,True,0.75,3,5,5,3,3,4,4,4,0,1,1,1
DAMIMAS_A21B_0594,train,True,0.5,4,5,3,3,4,4,4,3,0,1,1,0
DAMIMAS_A21B_0019,train,True,0.5,2,0,8,3,2,0,9,4,0,0,1,1
DAMIMAS_A21B_0262,train,True,0.25,2,2,7,2,2,2,8,2,0,0,1,0
DAMIMAS_A21B_0595,train,True,0.0,3,4,6,0,3,4,6,0,0,0,0,0
DAMIMAS_A21B_0020,train,True,0.0,1,1,4,3,1,1,4,3,0,0,0,0
DAMIMAS_A21B_0263,train,True,0.0,0,7,3,1,0,7,3,1,0,0,0,0
DAMIMAS_A21B_0596,train,True,0.25,0,2,8,4,0,2,8,3,0,0,0,1
DAMIMAS_A21B_0021,train,True,0.0,3,0,5,4,3,0,5,4,0,0,0,0
DAMIMAS_A21B_0264,train,True,0.25,3,2,7,0,3,2,8,0,0,0,1,0
DAMIMAS_A21B_0597,train,True,0.25,0,0,8,0,0,0,9,0,0,0,1,0
DAMIMAS_A21B_0022,train,True,0.25,0,1,5,2,0,1,6,2,0,0,1,0
DAMIMAS_A21B_0265,train,True,0.25,1,2,8,1,1,2,9,1,0,0,1,0
DAMIMAS_A21B_0598,train,True,0.0,1,3,5,1,1,3,5,1,0,0,0,0
DAMIMAS_A21B_0023,train,True,0.0,1,3,5,0,1,3,5,0,0,0,0,0
DAMIMAS_A21B_0266,train,True,0.0,2,1,9,0,2,1,9,0,0,0,0,0
DAMIMAS_A21B_0599,train,True,0.5,3,4,6,2,3,3,6,1,0,1,0,1
DAMIMAS_A21B_0024,train,True,0.5,1,0,6,3,2,0,6,4,1,0,0,1
DAMIMAS_A21B_0267,train,True,0.5,1,5,4,2,2,4,4,2,1,1,0,0
DAMIMAS_A21B_0600,train,True,0.0,3,2,7,4,3,2,7,4,0,0,0,0
DAMIMAS_A21B_0025,train,True,0.5,1,1,5,0,2,1,4,0,1,0,1,0
DAMIMAS_A21B_0268,train,False,0.75,2,6,5,6,2,4,4,6,0,2,1,0
DAMIMAS_A21B_0601,train,True,0.25,0,0,5,1,0,0,6,1,0,0,1,0
DAMIMAS_A21B_0026,train,True,0.25,0,1,4,2,0,1,5,2,0,0,1,0
DAMIMAS_A21B_0269,train,True,0.25,0,0,5,0,0,0,6,0,0,0,1,0
DAMIMAS_A21B_0602,train,True,0.0,4,4,5,3,4,4,5,3,0,0,0,0
DAMIMAS_A21B_0027,train,True,0.25,3,0,6,2,4,0,6,2,1,0,0,0
DAMIMAS_A21B_0270,train,True,0.25,1,2,7,0,1,2,6,0,0,0,1,0
DAMIMAS_A21B_0603,train,True,0.0,2,4,3,1,2,4,3,1,0,0,0,0
DAMIMAS_A21B_0028,train,True,0.25,0,1,5,6,0,1,6,6,0,0,1,0
DAMIMAS_A21B_0271,train,True,0.5,0,6,6,3,0,5,6,2,0,1,0,1
DAMIMAS_A21B_0604,train,True,0.0,0,3,2,1,0,3,2,1,0,0,0,0
DAMIMAS_A21B_0029,train,True,0.75,1,2,5,2,1,3,6,3,0,1,1,1
DAMIMAS_A21B_0272,train,True,0.25,1,1,5,2,1,2,5,2,0,1,0,0
DAMIMAS_A21B_0605,train,True,0.0,2,2,6,3,2,2,6,3,0,0,0,0
DAMIMAS_A21B_0030,train,True,0.25,0,0,5,3,0,0,5,2,0,0,0,1
DAMIMAS_A21B_0273,train,False,0.5,0,1,6,0,0,1,8,0,0,0,2,0
DAMIMAS_A21B_0606,train,True,0.25,1,5,4,4,1,4,4,4,0,1,0,0
DAMIMAS_A21B_0031,train,True,0.25,0,1,4,2,0,1,5,2,0,0,1,0
DAMIMAS_A21B_0274,train,True,0.5,0,1,8,3,0,1,9,2,0,0,1,1
DAMIMAS_A21B_0607,train,True,0.0,4,4,4,1,4,4,4,1,0,0,0,0
DAMIMAS_A21B_0032,train,True,0.5,2,1,5,3,2,1,6,4,0,0,1,1
DAMIMAS_A21B_0275,train,True,0.5,3,4,8,2,3,3,8,1,0,1,0,1
DAMIMAS_A21B_0608,train,True,0.0,0,2,8,3,0,2,8,3,0,0,0,0
DAMIMAS_A21B_0033,train,True,0.5,0,0,8,2,0,0,9,1,0,0,1,1
DAMIMAS_A21B_0276,train,True,0.25,1,1,3,0,2,1,3,0,1,0,0,0
DAMIMAS_A21B_0609,train,True,0.0,1,2,5,3,1,2,5,3,0,0,0,0
DAMIMAS_A21B_0034,train,True,0.25,0,1,3,6,0,1,3,5,0,0,0,1
DAMIMAS_A21B_0277,train,True,0.25,1,3,5,0,2,3,5,0,1,0,0,0
DAMIMAS_A21B_0610,train,True,0.25,0,6,4,2,0,6,3,2,0,0,1,0
DAMIMAS_A21B_0035,train,False,0.5,0,7,2,0,0,5,2,0,0,2,0,0
DAMIMAS_A21B_0278,train,True,0.5,2,4,6,0,3,4,5,0,1,0,1,0
DAMIMAS_A21B_0611,train,True,0.0,0,6,5,0,0,6,5,0,0,0,0,0
DAMIMAS_A21B_0036,train,True,0.0,0,1,7,0,0,1,7,0,0,0,0,0
DAMIMAS_A21B_0279,train,True,0.25,0,5,9,1,0,4,9,1,0,1,0,0
DAMIMAS_A21B_0612,train,True,0.25,0,1,8,0,0,1,7,0,0,0,1,0
DAMIMAS_A21B_0037,train,True,0.25,0,3,5,3,0,3,6,3,0,0,1,0
DAMIMAS_A21B_0280,train,True,0.5,2,3,4,4,2,2,3,4,0,1,1,0
DAMIMAS_A21B_0613,train,True,0.25,0,1,4,1,0,1,3,1,0,0,1,0
DAMIMAS_A21B_0038,train,True,0.0,2,0,5,5,2,0,5,5,0,0,0,0
DAMIMAS_A21B_0281,train,True,0.25,0,0,10,5,0,0,9,5,0,0,1,0
DAMIMAS_A21B_0614,train,True,0.5,2,5,5,4,2,5,4,3,0,0,1,1
DAMIMAS_A21B_0039,train,True,0.0,2,5,2,0,2,5,2,0,0,0,0,0
DAMIMAS_A21B_0282,train,True,0.0,4,0,6,0,4,0,6,0,0,0,0,0
DAMIMAS_A21B_0615,train,True,0.0,3,5,3,1,3,5,3,1,0,0,0,0
DAMIMAS_A21B_0040,train,True,0.5,2,2,4,3,2,2,5,4,0,0,1,1
DAMIMAS_A21B_0283,train,True,0.25,2,1,7,1,2,1,8,1,0,0,1,0
DAMIMAS_A21B_0616,train,True,0.25,2,2,5,4,2,2,5,3,0,0,0,1
DAMIMAS_A21B_0041,train,True,0.0,2,3,6,3,2,3,6,3,0,0,0,0
DAMIMAS_A21B_0617,train,True,0.0,3,3,5,1,3,3,5,1,0,0,0,0
DAMIMAS_A21B_0042,train,True,0.5,2,1,4,1,3,1,3,1,1,0,1,0
DAMIMAS_A21B_0618,train,True,0.25,3,4,2,1,3,3,2,1,0,1,0,0
DAMIMAS_A21B_0043,train,False,0.5,2,3,6,0,2,3,8,0,0,0,2,0
DAMIMAS_A21B_0619,train,True,0.25,6,4,6,0,6,3,6,0,0,1,0,0
DAMIMAS_A21B_0044,train,True,0.25,2,1,4,1,2,1,5,1,0,0,1,0
DAMIMAS_A21B_0620,train,True,0.0,2,1,9,2,2,1,9,2,0,0,0,0
DAMIMAS_A21B_0045,train,False,0.5,1,0,10,4,1,0,12,4,0,0,2,0
DAMIMAS_A21B_0621,train,True,0.0,3,3,8,2,3,3,8,2,0,0,0,0
DAMIMAS_A21B_0622,train,True,0.75,2,6,3,2,2,5,4,3,0,1,1,1
DAMIMAS_A21B_0623,train,True,0.25,2,5,5,0,2,5,6,0,0,0,1,0
DAMIMAS_A21B_0624,train,True,0.5,3,1,8,2,3,1,7,3,0,0,1,1
DAMIMAS_A21B_0625,train,True,0.25,0,3,9,3,0,3,9,4,0,0,0,1
DAMIMAS_A21B_0626,train,True,0.0,1,4,4,5,1,4,4,5,0,0,0,0
DAMIMAS_A21B_0627,train,True,0.0,2,4,4,0,2,4,4,0,0,0,0,0
DAMIMAS_A21B_0628,train,True,0.25,0,2,7,3,0,2,7,4,0,0,0,1
DAMIMAS_A21B_0629,train,True,0.25,2,0,6,1,2,0,7,1,0,0,1,0
DAMIMAS_A21B_0630,train,True,0.25,1,5,3,3,1,5,3,4,0,0,0,1
DAMIMAS_A21B_0631,train,True,0.0,0,3,3,0,0,3,3,0,0,0,0,0
DAMIMAS_A21B_0632,train,True,0.25,3,4,10,4,3,4,9,4,0,0,1,0
DAMIMAS_A21B_0633,train,True,0.0,0,0,2,0,0,0,2,0,0,0,0,0
DAMIMAS_A21B_0634,train,True,0.25,4,5,4,3,4,5,4,4,0,0,0,1
DAMIMAS_A21B_0635,train,True,0.5,3,7,5,3,3,6,4,3,0,1,1,0
DAMIMAS_A21B_0636,train,True,0.25,0,1,7,3,0,1,7,2,0,0,0,1
DAMIMAS_A21B_0637,train,True,0.0,2,0,2,1,2,0,2,1,0,0,0,0
DAMIMAS_A21B_0638,train,True,0.25,4,3,4,1,4,3,3,1,0,0,1,0
DAMIMAS_A21B_0639,train,True,0.0,2,1,10,1,2,1,10,1,0,0,0,0
DAMIMAS_A21B_0640,train,True,0.25,1,3,7,3,1,3,8,3,0,0,1,0
DAMIMAS_A21B_0641,train,True,0.0,3,3,5,4,3,3,5,4,0,0,0,0
DAMIMAS_A21B_0642,train,True,0.25,1,1,3,3,1,1,3,2,0,0,0,1
DAMIMAS_A21B_0644,train,True,0.5,0,2,7,3,0,2,8,4,0,0,1,1
DAMIMAS_A21B_0645,train,True,0.25,0,0,5,2,0,0,6,2,0,0,1,0
DAMIMAS_A21B_0646,train,True,0.0,0,4,5,2,0,4,5,2,0,0,0,0
DAMIMAS_A21B_0647,train,True,0.0,0,4,7,0,0,4,7,0,0,0,0,0
DAMIMAS_A21B_0648,train,True,0.5,0,0,8,3,0,0,7,4,0,0,1,1
DAMIMAS_A21B_0649,train,True,0.25,0,1,9,3,0,1,8,3,0,0,1,0
DAMIMAS_A21B_0650,train,True,0.5,2,2,6,3,2,2,5,2,0,0,1,1
DAMIMAS_A21B_0651,train,True,0.0,2,2,5,4,2,2,5,4,0,0,0,0
DAMIMAS_A21B_0652,train,True,0.5,2,3,4,2,2,3,5,1,0,0,1,1
DAMIMAS_A21B_0653,train,True,0.25,2,1,6,3,2,1,5,3,0,0,1,0
DAMIMAS_A21B_0654,train,True,0.5,3,6,3,4,3,5,4,4,0,1,1,0
DAMIMAS_A21B_0655,train,True,0.25,2,1,7,2,2,1,6,2,0,0,1,0
DAMIMAS_A21B_0656,train,True,0.25,2,0,9,5,2,0,9,4,0,0,0,1
DAMIMAS_A21B_0657,train,True,0.25,1,2,7,5,1,2,8,5,0,0,1,0
DAMIMAS_A21B_0658,train,True,0.25,1,2,3,1,1,2,2,1,0,0,1,0
DAMIMAS_A21B_0659,train,True,0.25,1,1,8,2,1,1,9,2,0,0,1,0
DAMIMAS_A21B_0660,train,True,0.0,0,2,5,3,0,2,5,3,0,0,0,0
DAMIMAS_A21B_0780,train,True,0.0,0,0,1,4,0,0,1,4,0,0,0,0
DAMIMAS_A21B_0781,train,True,0.25,0,4,5,3,0,4,5,4,0,0,0,1
DAMIMAS_A21B_0782,train,True,0.0,0,0,3,1,0,0,3,1,0,0,0,0
DAMIMAS_A21B_0783,train,True,0.25,1,2,8,3,2,2,8,3,1,0,0,0
DAMIMAS_A21B_0784,train,True,0.25,0,3,4,1,0,3,3,1,0,0,1,0
DAMIMAS_A21B_0785,train,False,0.5,0,2,4,0,0,2,6,0,0,0,2,0
DAMIMAS_A21B_0786,train,True,0.0,1,1,1,0,1,1,1,0,0,0,0,0
DAMIMAS_A21B_0787,train,True,0.0,0,3,4,0,0,3,4,0,0,0,0,0
DAMIMAS_A21B_0788,train,True,0.25,0,1,7,3,0,1,8,3,0,0,1,0
DAMIMAS_A21B_0789,train,True,0.5,2,5,4,5,2,4,4,4,0,1,0,1
DAMIMAS_A21B_0790,train,True,0.0,2,0,6,0,2,0,6,0,0,0,0,0
DAMIMAS_A21B_0791,train,True,0.0,0,1,4,0,0,1,4,0,0,0,0,0
DAMIMAS_A21B_0792,train,True,0.5,0,3,7,2,0,3,8,1,0,0,1,1
DAMIMAS_A21B_0794,train,True,0.0,0,2,9,0,0,2,9,0,0,0,0,0
DAMIMAS_A21B_0795,train,True,0.25,1,1,3,0,1,1,2,0,0,0,1,0
DAMIMAS_A21B_0796,train,True,0.25,0,0,5,1,0,0,6,1,0,0,1,0
DAMIMAS_A21B_0797,train,True,0.0,1,4,2,0,1,4,2,0,0,0,0,0
DAMIMAS_A21B_0798,train,True,0.25,1,2,4,0,1,3,4,0,0,1,0,0
DAMIMAS_A21B_0799,train,True,0.25,0,0,5,3,0,0,6,3,0,0,1,0
DAMIMAS_A21B_0800,train,True,0.5,0,2,5,3,0,3,4,3,0,1,1,0
DAMIMAS_A21B_0801,train,True,0.25,1,4,2,3,1,4,2,4,0,0,0,1
DAMIMAS_A21B_0802,train,True,0.0,1,2,2,4,1,2,2,4,0,0,0,0
DAMIMAS_A21B_0803,train,True,0.25,1,1,8,4,1,1,8,5,0,0,0,1
DAMIMAS_A21B_0804,train,True,0.0,1,2,5,1,1,2,5,1,0,0,0,0
DAMIMAS_A21B_0805,train,True,0.75,2,4,3,3,3,4,4,4,1,0,1,1
DAMIMAS_A21B_0806,train,True,0.25,1,0,5,1,1,0,6,1,0,0,1,0
DAMIMAS_A21B_0807,train,True,0.0,0,1,1,10,0,1,1,10,0,0,0,0
DAMIMAS_A21B_0808,train,True,0.75,2,1,3,4,3,2,3,5,1,1,0,1
DAMIMAS_A21B_0809,val,True,0.5,2,2,6,2,3,2,7,2,1,0,1,0
DAMIMAS_A21B_0546,test,True,0.25,2,5,4,5,2,6,4,5,0,1,0,0
DAMIMAS_A21B_0547,test,True,0.25,1,5,6,0,1,6,6,0,0,1,0,0
DAMIMAS_A21B_0548,test,True,0.25,1,3,4,3,1,3,4,4,0,0,0,1
DAMIMAS_A21B_0549,test,True,0.25,1,0,4,0,1,0,5,0,0,0,1,0
DAMIMAS_A21B_0550,test,True,0.0,2,4,4,5,2,4,4,5,0,0,0,0
DAMIMAS_A21B_0551,test,True,0.25,3,3,7,4,4,3,7,4,1,0,0,0
DAMIMAS_A21B_0552,test,True,0.25,3,4,2,0,4,4,2,0,1,0,0,0
DAMIMAS_A21B_0553,test,True,1.0,1,1,5,3,2,2,6,2,1,1,1,1
DAMIMAS_A21B_0554,test,False,1.0,2,3,4,5,2,3,6,7,0,0,2,2
DAMIMAS_A21B_0555,test,True,0.5,0,3,3,1,0,4,4,1,0,1,1,0
DAMIMAS_A21B_0556,test,True,0.25,2,4,4,3,2,4,5,3,0,0,1,0
DAMIMAS_A21B_0557,test,False,1.0,1,1,3,4,2,1,5,5,1,0,2,1
DAMIMAS_A21B_0558,test,True,0.75,0,3,4,3,0,4,5,4,0,1,1,1
DAMIMAS_A21B_0559,test,True,0.0,0,0,0,7,0,0,0,7,0,0,0,0
DAMIMAS_A21B_0560,test,True,0.0,0,2,3,0,0,2,3,0,0,0,0,0
DAMIMAS_A21B_0561,test,True,0.25,1,2,6,3,1,2,6,4,0,0,0,1
DAMIMAS_A21B_0562,test,True,0.25,2,4,6,4,2,4,5,4,0,0,1,0
DAMIMAS_A21B_0563,test,True,0.5,2,3,4,0,3,3,5,0,1,0,1,0
DAMIMAS_A21B_0564,test,True,0.5,3,2,4,3,3,2,3,4,0,0,1,1
DAMIMAS_A21B_0565,test,True,0.5,0,0,6,4,0,0,7,5,0,0,1,1
DAMIMAS_A21B_0566,test,True,0.75,1,4,5,3,2,4,6,4,1,0,1,1
DAMIMAS_A21B_0567,test,True,0.5,3,4,5,2,3,4,6,3,0,0,1,1
DAMIMAS_A21B_0568,test,True,0.25,2,3,4,3,2,3,4,4,0,0,0,1
DAMIMAS_A21B_0569,test,False,1.0,2,2,4,6,3,2,5,4,1,0,1,2
DAMIMAS_A21B_0570,test,True,0.5,0,3,5,3,0,3,6,4,0,0,1,1
DAMIMAS_A21B_0571,test,False,0.5,3,6,6,1,3,4,6,1,0,2,0,0
DAMIMAS_A21B_0572,test,True,0.25,2,3,2,2,2,3,1,2,0,0,1,0
DAMIMAS_A21B_0573,test,True,0.75,0,2,3,9,0,3,4,8,0,1,1,1
DAMIMAS_A21B_0574,test,False,0.5,0,0,3,2,0,0,5,2,0,0,2,0
DAMIMAS_A21B_0575,test,True,0.0,3,3,6,3,3,3,6,3,0,0,0,0
DAMIMAS_A21B_0576,test,True,0.25,3,5,4,4,3,4,4,4,0,1,0,0
