tree_id,split,oracle_ok,n_methods_ok,methods_ok
DAMIMAS_A21B_0001,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0244,train,True,9,"v9_selector,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0577,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0002,train,True,4,"v6_selector,v9_selector,v5_best_visibility_grid,v5_class_aware_vis"
DAMIMAS_A21B_0245,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0578,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0003,train,True,10,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v7_stacking_density,v7_stacking_bracketed,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0246,train,True,7,"v6_selector,v9_selector,v5_adaptive_corrected,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v8_entropy_modulated"
DAMIMAS_A21B_0579,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0004,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0247,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0580,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0005,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0248,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0581,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0006,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0249,train,True,10,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0582,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0007,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0250,train,True,10,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_b2_b4_boosted"
DAMIMAS_A21B_0583,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0008,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0251,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0584,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0009,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0252,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0585,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0010,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0253,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0586,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0011,train,True,13,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0254,train,True,10,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_b2_b4_boosted"
DAMIMAS_A21B_0587,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0012,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0255,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0588,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0013,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0256,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0589,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0014,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0257,train,True,3,"v6_selector,v9_selector,v5_class_aware_vis"
DAMIMAS_A21B_0590,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0015,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0258,train,True,8,"v6_selector,v9_selector,v5_adaptive_corrected,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v8_entropy_modulated,v8_b2_b4_boosted"
DAMIMAS_A21B_0591,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0016,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0259,train,True,3,"v6_selector,v9_selector,v5_class_aware_vis"
DAMIMAS_A21B_0592,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0017,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0260,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0593,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0018,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0261,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0594,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0019,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0262,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0595,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0020,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0263,train,True,10,"v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0596,train,True,10,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_b2_b4_boosted"
DAMIMAS_A21B_0021,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0264,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0597,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0022,train,True,14,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_per_side_median,v8_multi_consensus,v8_b2_b4_boosted"
DAMIMAS_A21B_0265,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0598,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0023,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0266,train,True,10,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_b2_b4_boosted"
DAMIMAS_A21B_0599,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0024,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0267,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0600,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
DAMIMAS_A21B_0025,train,True,11,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_b2_b4_boosted"
DAMIMAS_A21B_0268,train,True,8,"v6_selector,v9_selector,v5_adaptive_corrected,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated"
DAMIMAS_A21B_0601,train,True,12,"v6_selector,v9_selector,v5_adaptive_corrected,v5_best_visibility_grid,v5_class_aware_vis,v7_stacking_density,v7_stacking_bracketed,v7_ordinal_b3,v8_entropy_modulated,v8_side_agreement,v8_floor_anchor_50,v8_b2_b4_boosted"
