method,tree_id,split,domain,ok,MAE,error_sum,gt_B1,gt_B2,gt_B3,gt_B4,pred_B1,pred_B2,pred_B3,pred_B4,err_B1,err_B2,err_B3,err_B4,delta_B1,delta_B2,delta_B3,delta_B4
v1_corrected,DAMIMAS_A21B_0001,train,DAMIMAS,True,0.5,2,1,2,5,0,1,3,6,0,0,1,1,0,0,1,1,0
v1_corrected,DAMIMAS_A21B_0244,train,DAMIMAS,False,0.5,2,0,0,0,7,0,0,0,9,0,0,0,2,0,0,0,2
v1_corrected,DAMIMAS_A21B_0577,train,DAMIMAS,True,0.25,1,3,0,4,2,3,0,3,2,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0002,train,DAMIMAS,False,1.0,4,1,0,7,4,2,0,6,6,1,0,1,2,1,0,-1,2
v1_corrected,DAMIMAS_A21B_0245,train,DAMIMAS,False,0.75,3,0,0,3,2,0,0,2,4,0,0,1,2,0,0,-1,2
v1_corrected,DAMIMAS_A21B_0578,train,DAMIMAS,True,0.25,1,1,5,1,0,1,4,1,0,0,1,0,0,0,-1,0,0
v1_corrected,DAMIMAS_A21B_0003,train,DAMIMAS,True,0.5,2,1,2,5,1,1,3,6,1,0,1,1,0,0,1,1,0
v1_corrected,DAMIMAS_A21B_0246,train,DAMIMAS,False,1.0,4,0,6,6,4,0,4,4,4,0,2,2,0,0,-2,-2,0
v1_corrected,DAMIMAS_A21B_0579,train,DAMIMAS,True,0.0,0,5,3,6,1,5,3,6,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0004,train,DAMIMAS,True,0.0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0247,train,DAMIMAS,True,0.25,1,2,3,5,0,2,3,6,0,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0580,train,DAMIMAS,True,0.25,1,2,4,6,1,2,4,7,1,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0005,train,DAMIMAS,True,0.25,1,1,3,3,2,1,3,3,1,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0248,train,DAMIMAS,True,0.5,2,0,2,5,4,0,2,6,3,0,0,1,1,0,0,1,-1
v1_corrected,DAMIMAS_A21B_0581,train,DAMIMAS,True,0.0,0,1,3,5,2,1,3,5,2,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0006,train,DAMIMAS,True,0.5,2,1,0,5,3,1,0,4,4,0,0,1,1,0,0,-1,1
v1_corrected,DAMIMAS_A21B_0249,train,DAMIMAS,True,0.0,0,0,1,9,0,0,1,9,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0582,train,DAMIMAS,True,0.0,0,2,6,5,2,2,6,5,2,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0007,train,DAMIMAS,True,0.5,2,3,3,9,3,3,2,8,3,0,1,1,0,0,-1,-1,0
v1_corrected,DAMIMAS_A21B_0250,train,DAMIMAS,True,0.25,1,2,1,8,8,2,1,7,8,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0583,train,DAMIMAS,True,0.0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0008,train,DAMIMAS,True,0.0,0,2,3,4,0,2,3,4,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0251,train,DAMIMAS,True,0.25,1,1,4,6,2,1,3,6,2,0,1,0,0,0,-1,0,0
v1_corrected,DAMIMAS_A21B_0584,train,DAMIMAS,True,0.25,1,1,3,5,1,1,3,6,1,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0009,train,DAMIMAS,True,0.25,1,0,0,3,3,0,0,3,2,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0252,train,DAMIMAS,True,0.5,2,0,2,6,2,0,1,6,1,0,1,0,1,0,-1,0,-1
v1_corrected,DAMIMAS_A21B_0585,train,DAMIMAS,True,0.25,1,2,2,4,3,2,2,4,4,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0010,train,DAMIMAS,True,0.5,2,0,2,6,3,0,3,6,4,0,1,0,1,0,1,0,1
v1_corrected,DAMIMAS_A21B_0253,train,DAMIMAS,True,0.0,0,0,2,4,0,0,2,4,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0586,train,DAMIMAS,True,0.25,1,0,3,4,2,0,3,3,2,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0011,train,DAMIMAS,False,0.5,2,1,1,4,1,1,1,6,1,0,0,2,0,0,0,2,0
v1_corrected,DAMIMAS_A21B_0254,train,DAMIMAS,True,0.75,3,0,2,6,3,0,3,5,4,0,1,1,1,0,1,-1,1
v1_corrected,DAMIMAS_A21B_0587,train,DAMIMAS,True,0.0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0012,train,DAMIMAS,True,0.5,2,1,2,4,2,2,1,4,2,1,1,0,0,1,-1,0,0
v1_corrected,DAMIMAS_A21B_0255,train,DAMIMAS,True,0.0,0,1,2,6,1,1,2,6,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0588,train,DAMIMAS,True,0.25,1,4,3,3,2,3,3,3,2,1,0,0,0,-1,0,0,0
v1_corrected,DAMIMAS_A21B_0013,train,DAMIMAS,True,0.0,0,0,1,4,4,0,1,4,4,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0256,train,DAMIMAS,True,0.0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0589,train,DAMIMAS,True,0.25,1,1,2,10,1,1,2,9,1,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0014,train,DAMIMAS,True,0.25,1,1,1,4,3,1,1,4,4,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0257,train,DAMIMAS,False,0.75,3,1,4,7,1,1,3,5,1,0,1,2,0,0,-1,-2,0
v1_corrected,DAMIMAS_A21B_0590,train,DAMIMAS,True,0.5,2,4,2,4,4,4,2,3,3,0,0,1,1,0,0,-1,-1
v1_corrected,DAMIMAS_A21B_0015,train,DAMIMAS,True,0.5,2,1,1,7,4,2,1,8,4,1,0,1,0,1,0,1,0
v1_corrected,DAMIMAS_A21B_0258,train,DAMIMAS,True,0.25,1,0,2,7,2,0,2,6,2,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0591,train,DAMIMAS,True,0.0,0,2,5,5,1,2,5,5,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0016,train,DAMIMAS,True,0.0,0,1,0,4,0,1,0,4,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0259,train,DAMIMAS,False,0.5,2,1,8,3,0,1,6,3,0,0,2,0,0,0,-2,0,0
v1_corrected,DAMIMAS_A21B_0592,train,DAMIMAS,True,0.0,0,1,1,6,0,1,1,6,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0017,train,DAMIMAS,True,0.25,1,0,1,3,4,0,1,3,5,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0260,train,DAMIMAS,True,0.5,2,1,5,3,2,1,6,3,1,0,1,0,1,0,1,0,-1
v1_corrected,DAMIMAS_A21B_0593,train,DAMIMAS,True,0.0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0018,train,DAMIMAS,True,0.25,1,1,0,3,1,1,0,4,1,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0261,train,DAMIMAS,True,0.75,3,3,5,5,3,3,4,4,4,0,1,1,1,0,-1,-1,1
v1_corrected,DAMIMAS_A21B_0594,train,DAMIMAS,True,0.5,2,4,5,3,3,4,4,3,2,0,1,0,1,0,-1,0,-1
v1_corrected,DAMIMAS_A21B_0019,train,DAMIMAS,True,0.25,1,2,0,8,3,2,0,8,4,0,0,0,1,0,0,0,1
v1_corrected,DAMIMAS_A21B_0262,train,DAMIMAS,True,0.25,1,2,2,7,2,2,2,8,2,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0595,train,DAMIMAS,True,0.0,0,3,4,6,0,3,4,6,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0020,train,DAMIMAS,True,0.0,0,1,1,4,3,1,1,4,3,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0263,train,DAMIMAS,True,0.25,1,0,7,3,1,0,8,3,1,0,1,0,0,0,1,0,0
v1_corrected,DAMIMAS_A21B_0596,train,DAMIMAS,True,0.25,1,0,2,8,4,0,2,8,3,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0021,train,DAMIMAS,True,0.0,0,3,0,5,4,3,0,5,4,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0264,train,DAMIMAS,True,0.0,0,3,2,7,0,3,2,7,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0597,train,DAMIMAS,True,0.0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0022,train,DAMIMAS,True,0.25,1,0,1,5,2,0,1,6,2,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0265,train,DAMIMAS,True,0.0,0,1,2,8,1,1,2,8,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0598,train,DAMIMAS,True,0.0,0,1,3,5,1,1,3,5,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0023,train,DAMIMAS,True,0.25,1,1,3,5,0,1,3,4,0,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0266,train,DAMIMAS,True,0.25,1,2,1,9,0,2,1,8,0,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0599,train,DAMIMAS,True,0.5,2,3,4,6,2,3,3,6,1,0,1,0,1,0,-1,0,-1
v1_corrected,DAMIMAS_A21B_0024,train,DAMIMAS,True,0.5,2,1,0,6,3,2,0,6,4,1,0,0,1,1,0,0,1
v1_corrected,DAMIMAS_A21B_0267,train,DAMIMAS,True,0.5,2,1,5,4,2,2,4,4,2,1,1,0,0,1,-1,0,0
v1_corrected,DAMIMAS_A21B_0600,train,DAMIMAS,True,0.0,0,3,2,7,4,3,2,7,4,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0025,train,DAMIMAS,True,0.5,2,1,1,5,0,2,1,4,0,1,0,1,0,1,0,-1,0
v1_corrected,DAMIMAS_A21B_0268,train,DAMIMAS,False,1.0,4,2,6,5,6,2,4,4,5,0,2,1,1,0,-2,-1,-1
v1_corrected,DAMIMAS_A21B_0601,train,DAMIMAS,True,0.25,1,0,0,5,1,0,0,6,1,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0026,train,DAMIMAS,True,0.0,0,0,1,4,2,0,1,4,2,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0269,train,DAMIMAS,True,0.25,1,0,0,5,0,0,0,6,0,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0602,train,DAMIMAS,True,0.5,2,4,4,5,3,4,4,4,2,0,0,1,1,0,0,-1,-1
v1_corrected,DAMIMAS_A21B_0027,train,DAMIMAS,True,0.25,1,3,0,6,2,4,0,6,2,1,0,0,0,1,0,0,0
v1_corrected,DAMIMAS_A21B_0270,train,DAMIMAS,True,0.25,1,1,2,7,0,1,2,6,0,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0603,train,DAMIMAS,True,0.0,0,2,4,3,1,2,4,3,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0028,train,DAMIMAS,True,0.5,2,0,1,5,6,0,1,6,5,0,0,1,1,0,0,1,-1
v1_corrected,DAMIMAS_A21B_0271,train,DAMIMAS,True,0.5,2,0,6,6,3,0,5,6,2,0,1,0,1,0,-1,0,-1
v1_corrected,DAMIMAS_A21B_0604,train,DAMIMAS,True,0.0,0,0,3,2,1,0,3,2,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0029,train,DAMIMAS,True,0.75,3,1,2,5,2,1,3,6,3,0,1,1,1,0,1,1,1
v1_corrected,DAMIMAS_A21B_0272,train,DAMIMAS,True,0.25,1,1,1,5,2,1,2,5,2,0,1,0,0,0,1,0,0
v1_corrected,DAMIMAS_A21B_0605,train,DAMIMAS,True,0.25,1,2,2,6,3,2,2,6,2,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0030,train,DAMIMAS,True,0.25,1,0,0,5,3,0,0,5,2,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0273,train,DAMIMAS,False,0.5,2,0,1,6,0,0,1,8,0,0,0,2,0,0,0,2,0
v1_corrected,DAMIMAS_A21B_0606,train,DAMIMAS,True,0.25,1,1,5,4,4,1,4,4,4,0,1,0,0,0,-1,0,0
v1_corrected,DAMIMAS_A21B_0031,train,DAMIMAS,True,0.0,0,0,1,4,2,0,1,4,2,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0274,train,DAMIMAS,True,0.25,1,0,1,8,3,0,1,8,2,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0607,train,DAMIMAS,True,0.0,0,4,4,4,1,4,4,4,1,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0032,train,DAMIMAS,True,0.5,2,2,1,5,3,2,1,6,4,0,0,1,1,0,0,1,1
v1_corrected,DAMIMAS_A21B_0275,train,DAMIMAS,True,0.75,3,3,4,8,2,3,3,7,1,0,1,1,1,0,-1,-1,-1
v1_corrected,DAMIMAS_A21B_0608,train,DAMIMAS,True,0.0,0,0,2,8,3,0,2,8,3,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0033,train,DAMIMAS,True,0.5,2,0,0,8,2,0,0,9,1,0,0,1,1,0,0,1,-1
v1_corrected,DAMIMAS_A21B_0276,train,DAMIMAS,True,0.25,1,1,1,3,0,2,1,3,0,1,0,0,0,1,0,0,0
v1_corrected,DAMIMAS_A21B_0609,train,DAMIMAS,True,0.25,1,1,2,5,3,1,2,4,3,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0034,train,DAMIMAS,True,0.25,1,0,1,3,6,0,1,3,5,0,0,0,1,0,0,0,-1
v1_corrected,DAMIMAS_A21B_0277,train,DAMIMAS,True,0.5,2,1,3,5,0,2,3,4,0,1,0,1,0,1,0,-1,0
v1_corrected,DAMIMAS_A21B_0610,train,DAMIMAS,True,0.25,1,0,6,4,2,0,6,3,2,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0035,train,DAMIMAS,False,0.5,2,0,7,2,0,0,5,2,0,0,2,0,0,0,-2,0,0
v1_corrected,DAMIMAS_A21B_0278,train,DAMIMAS,False,0.75,3,2,4,6,0,3,4,4,0,1,0,2,0,1,0,-2,0
v1_corrected,DAMIMAS_A21B_0611,train,DAMIMAS,True,0.0,0,0,6,5,0,0,6,5,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0036,train,DAMIMAS,True,0.0,0,0,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0
v1_corrected,DAMIMAS_A21B_0279,train,DAMIMAS,True,0.5,2,0,5,9,1,0,4,8,1,0,1,1,0,0,-1,-1,0
v1_corrected,DAMIMAS_A21B_0612,train,DAMIMAS,True,0.25,1,0,1,8,0,0,1,7,0,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0037,train,DAMIMAS,True,0.25,1,0,3,5,3,0,3,6,3,0,0,1,0,0,0,1,0
v1_corrected,DAMIMAS_A21B_0280,train,DAMIMAS,True,0.5,2,2,3,4,4,2,2,3,4,0,1,1,0,0,-1,-1,0
v1_corrected,DAMIMAS_A21B_0613,train,DAMIMAS,True,0.25,1,0,1,4,1,0,1,3,1,0,0,1,0,0,0,-1,0
v1_corrected,DAMIMAS_A21B_0038,train,DAMIMAS,True,0.0,0,2,0,5,5,2,0,5,5,0,0,0,0,0,0,0,0
